formatted_address,name,place_id,types,price_level,res$results$geometry$location$lat,res$results$geometry$location$lng,res$results$opening_hours$open_now
"Asda, 89 Dunkeld Rd, Perth PH1 5AP, UK",Barclays ATM,ChIJyVQuCUE7hkgR69dQErhZN4o,atm|finance|point_of_interest|establishment,,56.4056657,-3.444481,TRUE
"211 High St, Perth PH1 5PB, UK",Cashpoint,ChIJIeSvHRQ7hkgR_iBqawREL30,atm|finance|point_of_interest|establishment,,56.3967075,-3.4330331,TRUE
"168 Oakbank Rd, Perth PH1 1HA, UK",ATM,ChIJSzo-280khkgRDb2XJtCyLk4,atm|finance|point_of_interest|establishment,,56.3915777,-3.4748786,
"The Square, Blair Atholl, Perth PH18 5TQ, UK",ATM,ChIJewMQJmepiEgRVDDTA87x1o0,atm|finance|point_of_interest|establishment,,56.7654622,-3.8480262,
"Inveralmond House, 200 Dunkeld Rd, Perth PH1 3AQ, UK",ATM,ChIJbxbfU1E7hkgRqeHjh7Ls20c,atm|finance|point_of_interest|establishment,,56.417172,-3.4654033,
"Edinburgh Road, Perth PH2 8DX, United Kingdom",ATM (Tesco),ChIJK6WEzx87hkgRYqjkBbKr11U,atm|finance|point_of_interest|establishment,,56.38058,-3.43431,
"9 Hive Ln, Northfleet, Gravesend DA11 9DE, UK",PayPoint,ChIJcy07AGK22EcREvw4JcY38vs,atm|finance|point_of_interest|establishment,,51.446435,0.3284581,
"6 The Hill, Northfleet, Gravesend DA11 9EU, UK",PayPoint,ChIJ31c2jWS22EcRhb5gN0qmvrs,atm|finance|point_of_interest|establishment,,51.4428018,0.3365051,
"21c King St, Gravesend DA12 2EB, UK",Landmark Bitcoin ATM (Kings News) Gravesend,ChIJ9ZFPmsq32EcRX0wZxNbxggg,atm|finance|point_of_interest|establishment,,51.4421743,0.370961,TRUE
"Gravesend Road, Shorne, Gravesend DA12 3JW, United Kingdom",ATM (The Copperfield),ChIJ4SPWKcXL2EcRRgpWqU6Ww24,atm|finance|point_of_interest|establishment,,51.4185712,0.4400153,
"Wrotham Rd, Gravesend DA11 7LF, UK",ATM (Beefeater Woodlands),ChIJQ2mw3Ae22EcRkLDOwK44H-c,atm|finance|point_of_interest|establishment,,51.4319489,0.3641105,
"35-37 Dover Rd, Northfleet, Gravesend DA11 9PH, UK",ATM,ChIJgVeLM2W22EcRbQ7VjY5fJPI,atm|finance|point_of_interest|establishment,,51.4412275,0.3384861,
"129 Springhead Rd, Northfleet, Gravesend DA11 8JG, UK",Sainsbury's Bank ATM,ChIJV9FxjNW12EcR4aQ8MPEyLIY,atm|finance|point_of_interest|establishment,2,51.4301195,0.3327379,
"47 Singlewell Rd, Gravesend DA11 7PU, UK",ATM,ChIJF1wWYAe22EcRfqg6fh_WtSE,atm|finance|point_of_interest|establishment,,51.4304217,0.3682102,
"182 Old Rd W, Gravesend DA11 0LY, UK",ATM,ChIJE9Ywigu22EcRQzZISHVStzs,atm|finance|point_of_interest|establishment,,51.4355807,0.3573557,
"4-12 Perry St, Northfleet, Gravesend DA11 8QU, UK",ATM,ChIJzbSeNAu22EcRkmhsO8bSfgs,atm|finance|point_of_interest|establishment,,51.4340799,0.3524922,
"Asda, Thames Way, Gravesend DA11 0DQ, UK",Barclays ATM,ChIJ3YriWxC22EcRmzJDBhWL43s,atm|finance|point_of_interest|establishment,,51.4431929,0.3621733,TRUE
"54 Wellington St, Gravesend DA12 1JG, UK",ATM,ChIJCVqJWAK22EcRs6giee02ETo,atm|finance|point_of_interest|establishment,,51.4382184,0.3737922,TRUE
"9-10 Arthur St, Gravesend DA11 0PP, UK",ATM,ChIJQdSSCgW22EcRJoMa-WWAmLw,atm|finance|point_of_interest|establishment,,51.4382421,0.3662868,
"139 Milton Rd, Gravesend DA12 2RG, UK",ATM (Manufacturing - Clock Tower),ChIJJSC9xBy22EcRhF1mZQ48xZA,atm|finance|point_of_interest|establishment,,51.4418081,0.3720781,
"46 The Terrace, Gravesend DA12 2BJ, UK",ATM,ChIJHTMonB222EcRfoZck6fMh8g,atm|finance|point_of_interest|establishment,,51.4435609,0.3745516,
"258 MacKenzie Way, Gravesend DA12 5TY, UK",ATM,ChIJNaD4VQzK2EcR8NTAHk8jyEI,atm|finance|point_of_interest|establishment,,51.4125125,0.3840774,
"Gravesend Rd, Strood ME2 3PW, UK",ATM (Tesco),ChIJIUfelXHM2EcR5uOJuUiJ6-M,atm|finance|point_of_interest|establishment,,51.402769,0.4804607,
